GUID,Electoral Divisions,Population (2022) - F1060C01,ED_ID,ED,COUNTY,PROVINCE,CENTROID_X,CENTROID_Y,AREA,ESRI_OID,Shape__Area,Shape__Length,QoL,a_sense_of_control:cost_of_living,a_sense_of_control:essential_services,a_sense_of_control:influence_and_contribution,a_sense_of_control:safety,a_sense_of_wonder:distinctive_design_and_culture,a_sense_of_wonder:play_and_recreation,connected_communities:belonging,connected_communities:local_business_and_jobs,connection_to_nature:biodiversity,connection_to_nature:climate_resilience_and_adaptation,connection_to_nature:green_and_blue_spaces,getting_around:car,getting_around:public_transport,getting_around:walking_and_cycling,health_equity:air_noise_light,health_equity:food_choice,health_equity:housing_standard
2ae19629-1d52-13a3-e055-000000000001,"Bruce Hall, Cavan",208,27016,BRUCE HALL,CAVAN,Ulster,631888.66,796350.48,9452620.86,305,9452620.86,15232.16442,63,60,55,62,70,68,63,72,58,75,68,70,63,52,68,70,62,58
2ae19629-1d53-13a3-e055-000000000001,"Butler's Bridge, Cavan",501,27017,BUTLER'S BRIDGE,CAVAN,Ulster,641313.06,811174.6,7818022.77,1692,7818022.769,18700.58557,60,56,52,58,65,63,58,68,53,70,63,65,58,48,63,65,58,53
2ae19629-1d54-13a3-e055-000000000001,"Canningstown, Cavan",543,27018,CANNINGSTOWN,CAVAN,Ulster,660938.46,803507.89,24072508.76,873,24072508.76,29764.80173,67,65,55,70,75,68,62,72,58,78,70,75,60,40,65,70,63,60
2ae19629-1d72-13a3-e055-000000000001,"Carn, Cavan",213,27019,CARN,CAVAN,Ulster,628569.69,813653.05,11634012.41,1318,11634012.41,21864.78525,72,68,60,75,78,72,65,75,62,80,72,78,63,45,70,72,68,63
2ae19629-1d73-13a3-e055-000000000001,"Carnagarve, Cavan",627,27020,CARNAGARVE,CAVAN,Ulster,666904.28,792902.05,21579091.78,2653,21579091.78,27245.67882,65,63,53,68,73,66,60,70,56,76,68,73,58,38,63,68,61,58
2ae19629-1d74-13a3-e055-000000000001,"Carrafin, Cavan",439,27021,CARRAFIN,CAVAN,Ulster,637417.12,810728.33,23881000.9,3365,23881000.9,35325.02058,69,66,58,72,76,70,63,73,60,79,71,76,61,42,68,71,65,61
2ae19629-1d8f-13a3-e055-000000000001,"Castlerahan, Cavan",897,27022,CASTLERAHAN,CAVAN,Ulster,654232.71,786197.19,28662420.57,85,28662420.57,34074.43291,75,70,62,78,80,74,68,78,65,82,74,80,65,48,72,74,70,65
2ae19629-1d90-13a3-e055-000000000001,"Castlesaunderson, Cavan",314,27023,CASTLESAUNDERSON,CAVAN,Ulster,639849.37,816579.74,19135388.23,1415,19135388.23,35939.47881,62,60,50,65,70,64,58,68,54,74,66,70,56,36,60,66,59,56
2ae19629-1da9-13a3-e055-000000000001,"Cavan Rural, Cavan",8747,27024,CAVAN RURAL,CAVAN,Ulster,642058.7,806538.44,36393911.44,2710,36393911.44,44690.66464,70,68,58,73,77,71,64,74,61,80,72,77,62,43,69,72,66,62
2ae19629-1daa-13a3-e055-000000000001,"Cavan Urban, Cavan",3868,27025,CAVAN URBAN,CAVAN,Ulster,641818.08,804820.58,2014208.76,3453,2014208.757,6597.92563,58,55,48,62,68,60,56,65,52,70,64,67,54,34,58,64,57,54
2ae19629-1dab-13a3-e055-000000000001,"Clonervy, Cavan",919,27026,CLONERVY,CAVAN,Ulster,645424.23,807984.18,18031514.66,2497,18031514.66,27990.24523,73,69,61,76,79,73,66,76,63,81,73,79,64,46,71,73,69,64
2ae19629-1dac-13a3-e055-000000000001,"Cootehill Rural, Cavan",1138,27027,COOTEHILL RURAL,CAVAN,Ulster,662613.89,812055.97,35506138.8,352,35506138.8,48423.04158,64,62,52,67,72,65,59,69,55,75,67,71,57,37,62,67,60,57
2ae19629-1dbf-13a3-e055-000000000001,"Cootehill Urban, Cavan",1705,27028,COOTEHILL URBAN,CAVAN,Ulster,660252.33,814228.61,1819279.97,162,1819279.969,6474.704913,67,65,55,70,75,68,62,72,60,78,70,75,60,50,68,70,63,62
2ae19629-1dc0-13a3-e055-000000000001,"Corr, Cavan",284,27029,CORR,CAVAN,Ulster,632679.29,802125.8,11040520.27,2153,11040520.27,17913.2889,72,68,60,75,78,72,66,76,64,82,74,79,64,54,72,74,67,66
2ae19629-1dc1-13a3-e055-000000000001,"Corraneary, Cavan",448,27030,CORRANEARY,CAVAN,Ulster,663675.19,807224.99,23924215.55,1816,23924215.55,30023.29863,69,66,57,72,76,70,64,74,62,80,72,77,62,52,70,72,65,64
2ae19629-1dd9-13a3-e055-000000000001,"Crossbane, Cavan",677,27031,CROSSBANE,CAVAN,Ulster,664032.07,789291.83,21077100.15,2665,21077100.15,30558.61091,71,67,59,74,77,71,65,75,63,81,73,78,63,53,71,73,66,65
2ae19629-1dda-13a3-e055-000000000001,"Crossdoney, Cavan",610,27032,CROSSDONEY,CAVAN,Ulster,635420.92,801763.59,23857629.88,2557,23857629.88,35467.95882,70,66,58,73,77,71,65,75,63,81,73,78,63,53,71,73,66,65
2ae19629-1df9-13a3-e055-000000000001,"Crosskeys, Cavan",707,27033,CROSSKEYS,CAVAN,Ulster,649352.87,797811.68,19374952.44,470,19374952.44,27839.40666,68,65,56,71,76,69,63,73,61,79,71,76,61,51,69,71,64,63
2ae19629-1dfa-13a3-e055-000000000001,"Cuttragh, Cavan",454,27034,CUTTRAGH,CAVAN,Ulster,648343.48,802304.04,12049563.91,1825,12049563.91,19980.41715,73,69,61,76,79,73,67,77,65,83,75,80,65,55,73,75,68,67
2ae19629-1dfb-13a3-e055-000000000001,"Denn, Cavan",707,27035,DENN,CAVAN,Ulster,644334.72,797248.06,20640168.37,2846,20640168.37,26685.39621,74,70,62,77,80,74,68,78,66,84,76,81,66,56,74,76,69,68
2ae19629-1e10-13a3-e055-000000000001,"Derrin, Cavan",473,27036,DERRIN,CAVAN,Ulster,642528.75,793544.28,15010438.05,2138,15010438.05,24096.29993,75,71,63,78,81,75,69,79,67,85,77,82,67,57,75,77,70,69
2ae19629-1e11-13a3-e055-000000000001,"Derrylahan, Cavan",97,27037,DERRYLAHAN,CAVAN,Ulster,605946.76,828722.82,19220491.23,1591,19220491.23,28663.98416,76,72,64,79,82,76,70,80,68,86,78,83,68,58,76,78,71,70
2ae19629-1e1c-13a3-e055-000000000001,"Diamond, Cavan",151,27039,DIAMOND,CAVAN,Ulster,628284.76,809935.68,8464482.27,3127,8464482.274,14880.55293,67,62,54,71,78,65,59,74,58,76,72,81,56,43,68,73,61,59
2ae19629-1e1d-13a3-e055-000000000001,"Doogary, Cavan",136,27040,DOOGARY,CAVAN,Ulster,624982.9,810004.53,9363322.57,2629,9363322.57,16108.61335,72,67,61,78,83,71,66,79,63,81,77,86,61,48,73,78,66,64
2ae19629-1e1e-13a3-e055-000000000001,"Dowra, Cavan",160,27041,DOWRA,CAVAN,Ulster,600187.61,828098.13,22809646.01,271,22809646.01,33926.57744,59,54,46,63,70,57,51,66,50,68,64,73,48,35,60,65,53,51
2ae19629-1c9a-13a3-e055-000000000001,"Drumanespick, Cavan",498,27042,DRUMANESPICK,CAVAN,Ulster,661544.44,798518.35,14993903.24,1766,14993903.24,21733.50059,81,76,69,86,92,79,74,88,72,89,85,94,70,57,82,86,74,73
2ae19629-1c9b-13a3-e055-000000000001,"Drumcarban, Cavan",636,27043,DRUMCARBAN,CAVAN,Ulster,634963.93,797222.05,19060212.48,3383,19060212.48,30509.99524,63,58,50,68,75,61,55,70,54,73,69,78,52,39,65,69,58,55
2ae19629-1ca9-13a3-e055-000000000001,"Drumcarn, Cavan",518,27044,DRUMCARN,CAVAN,Ulster,648774.05,814512.95,25327494.42,1474,25327494.42,33455.08527,76,71,65,83,88,75,70,84,68,85,81,90,65,52,78,82,70,69
2ae19629-1caa-13a3-e055-000000000001,"Drumlumman, Cavan",674,27045,DRUMLUMMAN,CAVAN,Ulster,638130.82,789588.69,17617760.82,2,17617760.82,21762.10145,55,50,42,58,65,53,47,61,46,63,59,68,44,31,56,60,48,47
2ae19629-1cab-13a3-e055-000000000001,"Drung, Cavan",541,27046,DRUNG,CAVAN,Ulster,649605.91,809675.57,22631876.05,3420,22631876.05,25669.7854,85,80,73,90,97,83,78,93,76,93,89,98,74,61,86,90,78,77
2ae19629-1cba-13a3-e055-000000000001,"Enniskeen, Cavan",482,27048,ENNISKEEN,CAVAN,Ulster,673291.9,795694.96,19015208.0,2450,19015208.0,23704.50334,69,64,56,73,80,67,61,76,60,78,74,83,58,45,70,75,63,61
2ae19629-1cbb-13a3-e055-000000000001,"Eskey, Cavan",322,27049,ESKEY,CAVAN,Ulster,603562.17,836555.81,18553695.6,1905,18553695.6,23231.12568,79,74,68,87,91,78,73,87,71,88,84,93,68,55,81,85,73,72
2ae19629-1cac-13a3-e055-000000000001,"Graddum, Cavan",589,27050,GRADDUM,CAVAN,Ulster,648222.49,793933.25,21101422.9,12,21101422.9,25344.85051,67,65,55,70,75,68,62,72,60,78,70,75,60,50,68,70,62,63
2ae19629-1cad-13a3-e055-000000000001,"Grilly, Cavan",512,27051,GRILLY,CAVAN,Ulster,638373.55,817891.48,21192810.33,2675,21192810.33,36815.61935,69,68,58,72,78,70,65,75,62,80,72,78,62,52,70,72,65,65
2ae19629-1cbc-13a3-e055-000000000001,"Kilbride, Cavan",998,27052,KILBRIDE,CAVAN,Ulster,649646.99,784714.77,31113888.34,1753,31113888.34,39353.8076,71,70,60,75,80,72,68,78,65,82,75,80,65,55,72,75,68,68
2ae19629-1cbd-13a3-e055-000000000001,"Kilcogy, Cavan",452,27053,KILCOGY,CAVAN,Ulster,636797.49,786917.38,17830723.06,2986,17830723.06,26247.31808,73,72,62,78,82,75,70,80,68,85,78,82,68,58,75,78,70,70
2ae19629-1cda-13a3-e055-000000000001,"Kilconny, Cavan",643,27054,KILCONNY,CAVAN,Ulster,635917.71,818852.24,18241082.31,419,18241082.31,26827.68302,75,75,65,80,85,78,72,82,70,88,80,85,70,60,78,80,72,72
